Running training on CPU
Loading dataset train
Found pregenerated data dir. Using pregenerated data.
Loading complete. Took 0.00 s.
Loading dataset validation
Found pregenerated data dir. Using pregenerated data.
Loading complete. Took 0.00 s.
Building models...
Completed model building. Took 0.11 s.
                                                                                                                                                               
Preparation complete. Starting training...
Training VAE model...
Running validation...
{'valid_loss': 1.818, 'loss_diff': 0.0, 'epoch': 0, 'batch': 0}
{'valid_loss': 1.82, 'loss_diff': 0.0, 'epoch': 0, 'batch': 1}
{'valid_loss': 1.824, 'loss_diff': 0.0, 'epoch': 0, 'batch': 2}
{'valid_loss': 1.827, 'loss_diff': 0.0, 'epoch': 0, 'batch': 3}
{'valid_loss': 1.829, 'loss_diff': 0.0, 'epoch': 0, 'batch': 4}
{'valid_loss': 1.829, 'loss_diff': 0.0, 'epoch': 0, 'batch': 5}
{'valid_loss': 1.822, 'loss_diff': 0.0, 'epoch': 0, 'batch': 6}
{'valid_loss': 1.821, 'loss_diff': 0.0, 'epoch': 0, 'batch': 7}
{'valid_loss': 1.821, 'loss_diff': 0.0, 'epoch': 0, 'batch': 8}
{'valid_loss': 1.82, 'loss_diff': 0.0, 'epoch': 0, 'batch': 9}
{'valid_loss': 1.815, 'loss_diff': 0.0, 'epoch': 0, 'batch': 10}
{'valid_loss': 1.81, 'loss_diff': 0.0, 'epoch': 0, 'batch': 11}
{'valid_loss': 1.812, 'loss_diff': 0.0, 'epoch': 0, 'batch': 12}
{'valid_loss': 1.815, 'loss_diff': 0.0, 'epoch': 0, 'batch': 13}
{'valid_loss': 1.818, 'loss_diff': 0.0, 'epoch': 0, 'batch': 14}
{'valid_loss': 1.817, 'loss_diff': 0.0, 'epoch': 0, 'batch': 15}
{'valid_loss': 1.813, 'loss_diff': 0.0, 'epoch': 0, 'batch': 16}
{'valid_loss': 1.814, 'loss_diff': 0.0, 'epoch': 0, 'batch': 17}
{'valid_loss': 1.815, 'loss_diff': 0.0, 'epoch': 0, 'batch': 18}
{'valid_loss': 1.819, 'loss_diff': 0.0, 'epoch': 0, 'batch': 19}
{'valid_loss': 1.906, 'loss_diff': 0.0, 'epoch': 0, 'batch': 20}
{'valid_loss': 1.907, 'loss_diff': 0.0, 'epoch': 0, 'batch': 21}
{'valid_loss': 1.904, 'loss_diff': 0.0, 'epoch': 0, 'batch': 22}
{'valid_loss': 1.918, 'loss_diff': 0.0, 'epoch': 0, 'batch': 23}
{'valid_loss': 1.906, 'loss_diff': 0.0, 'epoch': 0, 'batch': 24}
{'valid_loss': 1.909, 'loss_diff': 0.0, 'epoch': 0, 'batch': 25}
{'valid_loss': 1.902, 'loss_diff': 0.0, 'epoch': 0, 'batch': 26}
{'valid_loss': 1.902, 'loss_diff': 0.0, 'epoch': 0, 'batch': 27}
{'valid_loss': 1.899, 'loss_diff': 0.0, 'epoch': 0, 'batch': 28}
{'valid_loss': 1.912, 'loss_diff': 0.0, 'epoch': 0, 'batch': 29}
{'valid_loss': 1.843, 'loss_diff': 0.0, 'epoch': 0, 'batch': 30}
{'valid_loss': 1.844, 'loss_diff': 0.0, 'epoch': 0, 'batch': 31}
{'valid_loss': 1.844, 'loss_diff': 0.0, 'epoch': 0, 'batch': 32}
{'valid_loss': 1.845, 'loss_diff': 0.0, 'epoch': 0, 'batch': 33}
{'valid_loss': 1.846, 'loss_diff': 0.0, 'epoch': 0, 'batch': 34}
{'valid_loss': 1.847, 'loss_diff': 0.0, 'epoch': 0, 'batch': 35}
{'valid_loss': 1.845, 'loss_diff': 0.0, 'epoch': 0, 'batch': 36}
{'valid_loss': 1.841, 'loss_diff': 0.0, 'epoch': 0, 'batch': 37}
{'valid_loss': 1.842, 'loss_diff': 0.0, 'epoch': 0, 'batch': 38}
{'valid_loss': 1.842, 'loss_diff': 0.0, 'epoch': 0, 'batch': 39}
{'valid_loss': 1.732, 'loss_diff': 0.0, 'epoch': 0, 'batch': 40}
{'valid_loss': 1.723, 'loss_diff': 0.0, 'epoch': 0, 'batch': 41}
{'valid_loss': 1.722, 'loss_diff': 0.0, 'epoch': 0, 'batch': 42}
{'valid_loss': 1.717, 'loss_diff': 0.0, 'epoch': 0, 'batch': 43}
{'valid_loss': 1.725, 'loss_diff': 0.0, 'epoch': 0, 'batch': 44}
{'valid_loss': 1.723, 'loss_diff': 0.0, 'epoch': 0, 'batch': 45}
{'valid_loss': 1.717, 'loss_diff': 0.0, 'epoch': 0, 'batch': 46}
{'valid_loss': 1.725, 'loss_diff': 0.0, 'epoch': 0, 'batch': 47}
{'valid_loss': 1.719, 'loss_diff': 0.0, 'epoch': 0, 'batch': 48}
{'valid_loss': 1.719, 'loss_diff': 0.0, 'epoch': 0, 'batch': 49}
{'valid_loss': 1.792, 'loss_diff': 0.0, 'epoch': 0, 'batch': 50}
{'valid_loss': 1.789, 'loss_diff': 0.0, 'epoch': 0, 'batch': 51}
{'valid_loss': 1.793, 'loss_diff': 0.0, 'epoch': 0, 'batch': 52}
{'valid_loss': 1.793, 'loss_diff': 0.0, 'epoch': 0, 'batch': 53}
{'valid_loss': 1.796, 'loss_diff': 0.0, 'epoch': 0, 'batch': 54}
{'valid_loss': 1.794, 'loss_diff': 0.0, 'epoch': 0, 'batch': 55}
{'valid_loss': 1.794, 'loss_diff': 0.0, 'epoch': 0, 'batch': 56}
{'valid_loss': 1.793, 'loss_diff': 0.0, 'epoch': 0, 'batch': 57}
{'valid_loss': 1.79, 'loss_diff': 0.0, 'epoch': 0, 'batch': 58}
{'valid_loss': 1.79, 'loss_diff': 0.0, 'epoch': 0, 'batch': 59}
