Running training on CPU
Loading dataset train
Found pregenerated data dir. Using pregenerated data.
Loading complete. Took 0.00 s.
Loading dataset validation
Found pregenerated data dir. Using pregenerated data.
Loading complete. Took 0.00 s.
Building models...
Completed model building. Took 0.10 s.
                                                                                                                                                               
Preparation complete. Starting training...
Training VAE model...
Running validation...
{'valid_loss': 1.887, 'loss_diff': 0.0, 'epoch': 0, 'batch': 0}
{'valid_loss': 1.876, 'loss_diff': 0.0, 'epoch': 0, 'batch': 1}
{'valid_loss': 1.882, 'loss_diff': 0.0, 'epoch': 0, 'batch': 2}
{'valid_loss': 1.891, 'loss_diff': 0.0, 'epoch': 0, 'batch': 3}
{'valid_loss': 1.897, 'loss_diff': 0.0, 'epoch': 0, 'batch': 4}
{'valid_loss': 1.898, 'loss_diff': 0.0, 'epoch': 0, 'batch': 5}
{'valid_loss': 1.883, 'loss_diff': 0.0, 'epoch': 0, 'batch': 6}
{'valid_loss': 1.88, 'loss_diff': 0.0, 'epoch': 0, 'batch': 7}
{'valid_loss': 1.885, 'loss_diff': 0.0, 'epoch': 0, 'batch': 8}
{'valid_loss': 1.878, 'loss_diff': 0.0, 'epoch': 0, 'batch': 9}
{'valid_loss': 1.777, 'loss_diff': 0.0, 'epoch': 0, 'batch': 10}
{'valid_loss': 1.778, 'loss_diff': 0.0, 'epoch': 0, 'batch': 11}
{'valid_loss': 1.772, 'loss_diff': 0.0, 'epoch': 0, 'batch': 12}
{'valid_loss': 1.784, 'loss_diff': 0.0, 'epoch': 0, 'batch': 13}
{'valid_loss': 1.791, 'loss_diff': 0.0, 'epoch': 0, 'batch': 14}
{'valid_loss': 1.781, 'loss_diff': 0.0, 'epoch': 0, 'batch': 15}
{'valid_loss': 1.782, 'loss_diff': 0.0, 'epoch': 0, 'batch': 16}
{'valid_loss': 1.779, 'loss_diff': 0.0, 'epoch': 0, 'batch': 17}
{'valid_loss': 1.789, 'loss_diff': 0.0, 'epoch': 0, 'batch': 18}
{'valid_loss': 1.778, 'loss_diff': 0.0, 'epoch': 0, 'batch': 19}
{'valid_loss': 1.714, 'loss_diff': 0.0, 'epoch': 0, 'batch': 20}
{'valid_loss': 1.717, 'loss_diff': 0.0, 'epoch': 0, 'batch': 21}
{'valid_loss': 1.713, 'loss_diff': 0.0, 'epoch': 0, 'batch': 22}
{'valid_loss': 1.727, 'loss_diff': 0.0, 'epoch': 0, 'batch': 23}
{'valid_loss': 1.712, 'loss_diff': 0.0, 'epoch': 0, 'batch': 24}
{'valid_loss': 1.719, 'loss_diff': 0.0, 'epoch': 0, 'batch': 25}
{'valid_loss': 1.708, 'loss_diff': 0.0, 'epoch': 0, 'batch': 26}
{'valid_loss': 1.712, 'loss_diff': 0.0, 'epoch': 0, 'batch': 27}
{'valid_loss': 1.713, 'loss_diff': 0.0, 'epoch': 0, 'batch': 28}
{'valid_loss': 1.721, 'loss_diff': 0.0, 'epoch': 0, 'batch': 29}
{'valid_loss': 1.775, 'loss_diff': 0.0, 'epoch': 0, 'batch': 30}
{'valid_loss': 1.779, 'loss_diff': 0.0, 'epoch': 0, 'batch': 31}
{'valid_loss': 1.769, 'loss_diff': 0.0, 'epoch': 0, 'batch': 32}
{'valid_loss': 1.772, 'loss_diff': 0.0, 'epoch': 0, 'batch': 33}
{'valid_loss': 1.782, 'loss_diff': 0.0, 'epoch': 0, 'batch': 34}
{'valid_loss': 1.783, 'loss_diff': 0.0, 'epoch': 0, 'batch': 35}
{'valid_loss': 1.774, 'loss_diff': 0.0, 'epoch': 0, 'batch': 36}
{'valid_loss': 1.771, 'loss_diff': 0.0, 'epoch': 0, 'batch': 37}
{'valid_loss': 1.786, 'loss_diff': 0.0, 'epoch': 0, 'batch': 38}
{'valid_loss': 1.787, 'loss_diff': 0.0, 'epoch': 0, 'batch': 39}
{'valid_loss': 1.889, 'loss_diff': 0.0, 'epoch': 0, 'batch': 40}
{'valid_loss': 1.886, 'loss_diff': 0.0, 'epoch': 0, 'batch': 41}
{'valid_loss': 1.884, 'loss_diff': 0.0, 'epoch': 0, 'batch': 42}
{'valid_loss': 1.872, 'loss_diff': 0.0, 'epoch': 0, 'batch': 43}
{'valid_loss': 1.888, 'loss_diff': 0.0, 'epoch': 0, 'batch': 44}
{'valid_loss': 1.886, 'loss_diff': 0.0, 'epoch': 0, 'batch': 45}
{'valid_loss': 1.88, 'loss_diff': 0.0, 'epoch': 0, 'batch': 46}
{'valid_loss': 1.891, 'loss_diff': 0.0, 'epoch': 0, 'batch': 47}
{'valid_loss': 1.877, 'loss_diff': 0.0, 'epoch': 0, 'batch': 48}
{'valid_loss': 1.879, 'loss_diff': 0.0, 'epoch': 0, 'batch': 49}
{'valid_loss': 1.869, 'loss_diff': 0.0, 'epoch': 0, 'batch': 50}
{'valid_loss': 1.866, 'loss_diff': 0.0, 'epoch': 0, 'batch': 51}
{'valid_loss': 1.862, 'loss_diff': 0.0, 'epoch': 0, 'batch': 52}
{'valid_loss': 1.866, 'loss_diff': 0.0, 'epoch': 0, 'batch': 53}
{'valid_loss': 1.871, 'loss_diff': 0.0, 'epoch': 0, 'batch': 54}
{'valid_loss': 1.866, 'loss_diff': 0.0, 'epoch': 0, 'batch': 55}
{'valid_loss': 1.87, 'loss_diff': 0.0, 'epoch': 0, 'batch': 56}
{'valid_loss': 1.864, 'loss_diff': 0.0, 'epoch': 0, 'batch': 57}
{'valid_loss': 1.869, 'loss_diff': 0.0, 'epoch': 0, 'batch': 58}
{'valid_loss': 1.862, 'loss_diff': 0.0, 'epoch': 0, 'batch': 59}
